site_id,type,count
84,White Chert,5
84,Red Chert,8
84,Gray Chert,3
84,Red/White Chert,6
84,Yellow Chert,5
84,Dacite,5
84,Petrified Wood,9
85,White Chert,6
85,Red Chert,9
85,Gray Chert,3
85,Red/White Chert,3
85,Yellow Chert,2
85,Petrified Wood,5
86,White Chert,9
86,Red Chert,4
86,Gray Chert,5
86,Red/White Chert,4
86,Yellow Chert,5
86,Petrified Wood,8
87,White Chert,4
87,Red Chert,5
87,Gray Chert,4
87,Red/White Chert,3
87,Yellow Chert,8
87,Petrified Wood,4
88,White Chert,7
88,Red Chert,8
88,Gray Chert,6
88,Red/White Chert,3
88,Yellow Chert,4
88,Dacite,2
88,Petrified Wood,8
89,White Chert,5
89,Red Chert,4
89,Gray Chert,8
89,Red/White Chert,3
89,Yellow Chert,6
89,Petrified Wood,5
90,White Chert,5
90,Red Chert,3
90,Rhyolite,2
90,Petrified Wood,6
91,White Chert,6
91,Red Chert,9
91,Gray Chert,9
91,Petrified Wood,5
92,White Chert,9
92,Red Chert,3
92,Petrified Wood,13
93,White Chert,7
93,Red Chert,11
93,Gray Chert,7
93,Red/White Chert,4
93,Petrified Wood,6
94,White Chert,10
94,Red Chert,4
94,Gray Chert,4
94,Petrified Wood,4
95,White Chert,7
95,Red Chert,3
95,Gray Chert,3
95,Red/White Chert,4
95,Yellow Chert,3
96,White Chert,9
96,Obsidian,10
97,White Chert,14
97,Obsidian,7
98,White Chert,11
98,Dacite,2
98,Obsidian,10
99,White Chert,9
99,Red Chert,2
99,Gray Chert,2
99,Obsidian,8
100,White Chert,13
100,Dacite,2
100,Obsidian,9
101,White Chert,12
101,Obsidian,6
102,White Chert,6
102,Gray Chert,3
102,Dacite,4
102,Obsidian,9
103,White Chert,9
103,Obsidian,9
104,White Chert,11
104,Obsidian,6
105,White Chert,6
105,Obsidian,7
106,White Chert,10
106,Obsidian,6
106,Petrified Wood,2
107,White Chert,5
107,Obsidian,5
108,White Chert,7
108,Obsidian,4
109,White Chert,6
109,Red Chert,5
109,Red/White Chert,3
109,Dacite,4
109,Obsidian,5
110,White Chert,4
110,Red Chert,3
110,Red/White Chert,4
110,Obsidian,7
111,White Chert,7
111,Red/White Chert,2
111,Dacite,3
111,Obsidian,5
112,White Chert,9
112,Obsidian,5
113,White Chert,5
113,Obsidian,4
114,White Chert,7
114,Obsidian,8
115,White Chert,8
115,Obsidian,4
116,White Chert,5
116,Gray Chert,3
116,Obsidian,5
117,White Chert,7
117,Gray Chert,7
117,Red/White Chert,5
117,Petrified Wood,8
118,White Chert,5
118,Red Chert,4
118,Gray Chert,6
118,Red/White Chert,4
118,Yellow Chert,3
118,Petrified Wood,11
119,White Chert,4
119,Red Chert,8
119,Gray Chert,3
119,Red/White Chert,6
119,Rhyolite,3
119,Petrified Wood,7
120,White Chert,9
120,Dacite,5
120,Obsidian,6
121,White Chert,11
121,Obsidian,5
122,White Chert,7
122,Obsidian,9
123,White Chert,13
123,Dacite,2
123,Obsidian,7
124,White Chert,12
124,Obsidian,4
125,White Chert,8
125,Gray Chert,2
125,Obsidian,6
126,White Chert,8
126,Obsidian,5
127,White Chert,9
127,Obsidian,6
128,White Chert,14
128,Dacite,5
128,Obsidian,9
129,White Chert,6
129,Obsidian,11
130,White Chert,8
130,Red Chert,8
130,Gray Chert,4
130,Red/White Chert,7
